Business Name,Category,Phone,Email,Manager Name,Title,WhatsApp,Facebook,LinkedIn,Status,Research Method,Date Found,Confidence,Notes
B-Fitness GYM,Gym,Via Facebook,TBD,TBD,TBD,TBD,tumuyfitness,TBD,🔴 RED,Facebook page found,2/4/26,Low,Need phone call to get manager name
Legendarios GYM,Gym,19999707130,TBD,TBD,TBD,TBD,@legendariosgymbyxhinos,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Call and ask for manager
Alpha Fitness Mérida,Gym,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Address: 81A 547 - search Google Maps
Up Fitness Gym,Gym,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Address: Calle 23ᴬ 331 - search Google Maps
THUNDER GYM,Gym,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Address: C. 86-A 474 - search Google Maps
Armor Gym,Gym,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Address: C. 80 520 - search Google Maps
Farmacias Especializadas,Pharmacy,999 925 6053,info@farmaciasespecializadas.com,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,Call and ask for manager
Emerita Farmacias Montejo,Pharmacy,999 946 5394,info@emeritafarmacias.com,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,Call for specific manager name
Emérita Farmacias Centro 65,Pharmacy,999 924 1234,info@emeritafarmacias.com,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,Downtown location - call first
FarmaValue Mérida Centro,Pharmacy,999 926 2275,info@farmavalue.biz,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,Specializes in hard-to-find meds
Farmacia Guadalajara,Pharmacy,999 931 7326,info@farmaciasguadalajara.com.mx,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,24-hour location - large chain
Farmacia y Droguería Comercio,Pharmacy,999 928 1779,info@farmaciaydrogueriacomercio.com,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,Established local pharmacy
NaturalSlim® Mérida,Health Store,990 101 3133,servicio@naturalslimmexico.com,Regional Manager,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone & email,2/4/26,Medium,CDMX HQ - get Mérida local contact
Ya'axtal Montejo,Health Store,999 926 4989,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Contact form 404 - call directly
Estación Nativa,Health Store,999 571 2667,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,4.9 rating - high quality business
Centro de Nutrición All Healthy,Health Store,999 943 2279,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Location: Plaza Fiesta - mall opportunity
Dulce & Sano,Health Store,999 262 6633,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Small owner-operated - easy to reach
Masajes Spa Ha Studio,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Address: C. 60 486-Local 7 - search Google Maps
Boho Spa Calle 60,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,High traffic location - likely has online presence
Boho Spa Centro,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Downtown - search Google Maps
Clínica y Spa Le Réve,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,High-end clinic - likely has manager info
Clínica Bienestar Natural,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Perfect 5.0 rating - quality business
Colonial Spa Masajes,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Historic center location
Amori Cabina & Spa,Spa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,4.9 rating with 263 reviews - established
Grand Real Club Deportivo,Sports Club,999 688 4896,TBD,TBD,TBD,TBD,GrandRealClubMid,TBD,🟡 YELLOW,Phone & Facebook,2/4/26,Medium,Premium club - call for manager
Centro Deportivo Bancario,Sports Club,999 943 0550,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Corporate facility - call for director
Complejo Deportivo Kukulcán,Sports Club,999 940 0306,TBD,TBD,TBD,TBD,TBD,yucatan.gob.mx,🟡 YELLOW,Phone & government,2/4/26,Medium,Government facility - formal process
Club Campestre de Yucatán,Sports Club,999 944 2552,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Premium private club
Club Libanés de Mérida,Sports Club,999 944 2942,TBD,TBD,TBD,TBD,TBD,TBD,🟡 YELLOW,Phone available,2/4/26,Medium,Multiple sports - structured organization
Unidad Deportiva Francisco Montejo,Sports Club,TBD,TBD,TBD,TBD,TBD,TBD,TBD,🔴 RED,Need research,2/4/26,Low,Municipal facility - government process
Club Cumbres,Sports Club,999 944 4081,TBD,TBD,TBD,TBD,TBD,clubcumbres.com,🟡 YELLOW,Phone & website,2/4/26,Medium,Well-equipped facility
